placeDcid,placeName,Date:Count_Person_WhiteAlone,Value:Count_Person_WhiteAlone,Source:Count_Person_WhiteAlone
geoId/01097,Mobile County,2022,234657,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01099,Monroe County,2022,10645,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01101,Montgomery County,2022,74723,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01103,Morgan County,2022,94056,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01105,Perry County,2022,2411,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01107,Pickens County,2022,10880,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01109,Pike County,2022,18678,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01111,Randolph County,2022,17068,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01113,Russell County,2022,27622,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01115,St. Clair County,2022,78169,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01117,Shelby County,2022,174752,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01119,Sumter County,2022,3109,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01121,Talladega County,2022,51186,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01123,Tallapoosa County,2022,28516,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01125,Tuscaloosa County,2022,143889,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01127,Walker County,2022,57555,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01129,Washington County,2022,10298,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01131,Wilcox County,2022,2876,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01133,Winston County,2022,22050,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02013,Aleutians East Borough,2022,576,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02016,Aleutians West Census Area,2022,1356,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02020,Anchorage Municipality,2022,172004,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02050,Bethel Census Area,2022,1678,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02060,Bristol Bay Borough,2022,387,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02063,Chugach Census Area,2022,5015,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02066,Copper River Census Area,2022,1385,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02068,Denali Borough,2022,1591,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02070,Dillingham Census Area,2022,775,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02090,Fairbanks North Star Borough,2022,68726,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02100,Haines Borough,2022,1682,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02105,Hoonah-Angoon Census Area,2022,1238,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02110,Juneau City and Borough,2022,20543,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02122,Kenai Peninsula Borough,2022,47151,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
