placeDcid,placeName,Date:Median_Income_Person,Value:Median_Income_Person,Source:Median_Income_Person
geoId/05001,Arkansas County,2022,30457,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05003,Ashley County,2022,25154,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05005,Baxter County,2022,27747,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05007,Benton County,2022,40608,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05009,Boone County,2022,29241,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05011,Bradley County,2022,29644,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05013,Calhoun County,2022,24153,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05015,Carroll County,2022,28991,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05017,Chicot County,2022,24216,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05019,Clark County,2022,22097,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05021,Clay County,2022,26638,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05023,Cleburne County,2022,27798,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05025,Cleveland County,2022,26651,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05027,Columbia County,2022,25054,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05029,Conway County,2022,27027,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05031,Craighead County,2022,30313,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05033,Crawford County,2022,29456,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05035,Crittenden County,2022,29118,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05037,Cross County,2022,28044,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05039,Dallas County,2022,27725,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05041,Desha County,2022,23943,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05043,Drew County,2022,26516,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05045,Faulkner County,2022,32572,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05047,Franklin County,2022,27626,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05049,Fulton County,2022,23315,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05051,Garland County,2022,29088,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
